3683.90,0.052
3684.13,0.258
3684.55,0.277
3684.92,0.298
3684.97,0.206
3685.20,0.022
3685.52,0.129
3685.92,2.83
3685.97,0.350
3686.16,0.027
3686.61,0.038
3686.66,0.005
3686.90,0.246
3687.15,0.027
3687.46,0.037
3687.50,0.023
3687.80,0.500
3688.27,0.023
3688.58,0.068
3688.91,0.023
3688.95,0.012
3689.24,0.042
3689.55,0.172
3689.88,4.58
3689.93,4.19
3690.17,11.5
3690.59,0.084
3690.89,0.100
3690.85,0.073
3691.29,0.061
3691.60,0.020
3691.94,0.730
3691.97,0.582
3692.23,0.131
3692.60,1.49
3692.92,1.55
3692.97,0.932
3693.27,0.588
3693.58,0.357
3693.96,0.161
3693.85,0.075
3694.26,0.400
3694.50,0.133
3694.80,0.193
3694.75,0.212
3695.23,0.380
3695.53,0.842
3695.92,0.309
3695.97,0.129
3696.24,8.67
3696.54,5.77
3696.92,181
3696.97,21.2
3697.25,198
3697.56,21.7
3697.86,0.074
3697.97,1.68
3698.18,83.7
3698.48,71.1
3698.75,0.373
3698.80,0.199
3699.05,8.18
3699.30,0.018
3699.25,1835
3699.60,2213
3699.92,2624
3699.97,3907
3700.24,135
3700.59,205
3700.92,262
3700.97,62.2
3701.20,732
3701.52,436
3701.92,196
3701.97,19.7
3702.25,852
3702.60,932
3702.92,163
3702.97,104
3703.25,86.8
3703.58,258
3703.92,386
3703.97,457
3704.20,882
3704.54,310
3704.88,526
3704.93,249
3705.20,575
3705.53,888
3705.92,1079
3705.97,1262
3706.22,994
3706.55,107
3706.92,730
3706.97,1094
3707.23,1141
3707.56,988
3707.92,2015
3707.97,2121
3708.20,1465
3708.50,3863
3708.54,3641
3708.83,6068
3711.92,0.004
3711.97,0.001
3712.30,0.032
3712.60,0.049
3712.92,0.050
3712.97,0.028
3713.22,0.005
3713.64,0.002
3713.92,0.002
3713.88,0.002
3714.26,0.037
3714.58,0.159
3714.90,0.601
3714.95,0.657
3715.25,1.59
3715.60,2.57
3715.92,1.27
3715.97,1.17
3716.25,0.081
3716.57,0.606
3716.90,0.586
3716.95,0.377
3717.20,0.272
3734.31,0.136
3734.62,0.044
3734.92,0.123
3734.97,0.067
3735.26,0.075
3735.58,0.054
3735.92,1.13
3735.97,1.15
3736.28,1.65
3736.58,22.4
3736.90,1.17
3736.95,0.106
3738.30,0.153
3738.60,102
3738.92,7.81
