iter	Passed	Remaining
409	4353	6265
410	4361	6250
411	4366	6231
412	4370	6212
413	4375	6193
414	4381	6175
415	4384	6155
416	4389	6136
417	4394	6118
418	4397	6098
419	4401	6078
420	4408	6062
421	4411	6042
422	4414	6022
423	4419	6003
424	4425	5987
425	4445	5990
426	4451	5974
427	4457	5957
428	4460	5936
429	4463	5917
430	4468	5899
431	4472	5880
432	4476	5862
433	4481	5844
434	4486	5826
435	4489	5807
436	4493	5788
437	4501	5776
438	4504	5756
439	4508	5737
440	4512	5719
441	4517	5703
442	4521	5684
443	4524	5665
444	4532	5653
445	4540	5639
446	4548	5627
447	4554	5612
448	4560	5596
449	4575	5591
450	4582	5578
451	4585	5559
452	4591	5544
453	4598	5529
454	4601	5511
455	4607	5497
456	4613	5481
457	4616	5463
458	4622	5448
459	4628	5433
460	4634	5418
461	4640	5404
462	4644	5386
463	4651	5373
464	4657	5358
465	4662	5342
466	4668	5328
467	4675	5315
468	4680	5298
469	4689	5287
470	4693	5271
471	4698	5256
472	4708	5246
473	4721	5239
474	4728	5225
475	4738	5216
476	4746	5204
477	4753	5190
478	4756	5173
479	4762	5159
480	4768	5145
481	4773	5129
482	4779	5115
483	4783	5099
484	4788	5084
485	4795	5072
486	4799	5055
487	4804	5041
488	4811	5027
489	4814	5011
490	4821	4997
491	4828	4985
492	4836	4973
493	4843	4961
494	4847	4945
495	4856	4934
496	4861	4920
497	4868	4908
498	4875	4894
499	4882	4882
500	4889	4870
501	4893	4855
502	4906	4847
503	4925	4847
504	4944	4846
505	4952	4835
506	4959	4822
507	4967	4811
508	4972	4796
509	4982	4787
510	4987	4772
511	4994	4760
512	5001	4748
513	5033	4759
514	5071	4776
515	5080	4765
516	5084	4750
517	5103	4748
518	5134	4758
519	5177	4779
520	5182	4764
521	5210	4771
522	5230	4770
523	5245	4765
524	5252	4751
525	5259	4739
526	5264	4725
527	5273	4713
528	5278	4699
529	5286	4688
530	5292	4674
531	5298	4660
532	5305	4648
533	5308	4632
534	5314	4618
535	5319	4604
536	5322	4589
537	5328	4575
538	5334	4562
539	5337	4546
540	5341	4531
541	5349	4520
542	5353	4506
543	5360	4493
544	5365	4479
545	5368	4463
546	5372	4449
547	5378	4436
548	5382	4421
549	5385	4406
550	5390	4392
551	5396	4379
552	5399	4364
553	5403	4349
554	5410	4337
555	5413	4322
556	5416	4307
557	5421	4294
558	5425	4280
559	5429	4265
560	5433	4252
561	5439	4239
562	5443	4225
563	5446	4210
564	5450	4196
565	5455	4183
566	5458	4168
567	5462	4154
568	5467	4141
569	5470	4127
570	5474	4113
571	5479	4100
572	5484	4087
