iter	RMSE
223	0.803675198
224	0.8031177202
225	0.8021917856
226	0.8015212922
227	0.8000150623
228	0.799924073
229	0.7990938778
230	0.7962327247
231	0.7956211936
232	0.7954012644
233	0.7946508448
234	0.7945667487
235	0.7945614756
236	0.7945134807
237	0.7934791931
238	0.7875351782
239	0.7864632369
240	0.7855933929
241	0.7845437557
242	0.7837858313
243	0.7830918493
244	0.7822378914
245	0.7816950486
246	0.7813851975
247	0.7808522679
248	0.7807780514
249	0.7781251411
250	0.7773717629
251	0.7772329159
252	0.777131111
253	0.777102941
254	0.7759190764
255	0.7744370448
256	0.7744196878
257	0.7735415947
258	0.7734090823
259	0.7724266185
260	0.7722919573
261	0.771410698
262	0.7706990156
263	0.7698947194
264	0.7645152994
265	0.7644859026
266	0.7639208043
267	0.7637626359
268	0.7634677373
269	0.7629307654
270	0.7619221536
271	0.761226674
272	0.760638942
273	0.7601018013
274	0.7600729518
275	0.7598823671
276	0.7598670117
277	0.7592670958
278	0.7592188353
279	0.7590266163
280	0.7589371493
281	0.7583592452
282	0.7567016831
283	0.7564069109
284	0.755883175
285	0.754618345
286	0.7544163792
287	0.7537952081
288	0.753721122
289	0.7502860429
290	0.7493778187
291	0.7477674511
292	0.7443631521
293	0.7438568734
294	0.7436891486
295	0.7413371197
296	0.7411757875
297	0.7410210775
298	0.7409661625
299	0.7407387713
300	0.7392356992
301	0.7386350123
302	0.7385411262
303	0.7351885911
304	0.7334303852
305	0.7328527716
306	0.7324316876
307	0.7322374479
308	0.7316957582
309	0.7303290961
310	0.7267877514
311	0.725685981
312	0.7255613369
313	0.725442345
314	0.7253187335
315	0.7251952952
316	0.7251475109
317	0.7245286057
318	0.7215499363
319	0.7215180226
320	0.7214554838
321	0.7212500637
322	0.7211227908
323	0.7200966357
324	0.7192065636
325	0.7180255502
326	0.7178810239
327	0.7165838569
328	0.7156095127
329	0.7156003465
330	0.7148594191
331	0.7138279486
332	0.7137712627
333	0.7137153191
334	0.7132978648
335	0.7131070298
336	0.7121948529
337	0.7120885654
338	0.7112673514
339	0.7099399199
340	0.7091556631
341	0.7085494584
342	0.7084416493
343	0.7079096935
344	0.7068205525
345	0.7067250266
346	0.705533103
347	0.705396524
348	0.7053602112
349	0.7052459314
350	0.7047472659
351	0.7039726515
352	0.7036413124
353	0.7035204702
354	0.7024714034
355	0.7024630224
356	0.7019985535
357	0.7018325079
358	0.7016774043
359	0.7016635285
360	0.6991604043
361	0.6988416773
362	0.6987842797
363	0.6981813389
364	0.6980027193
365	0.6979062041
366	0.6976293669
367	0.697535255
368	0.6970805837
369	0.6958158438
370	0.6952743165
371	0.694036167
372	0.6939757146
373	0.6938582841
374	0.6938448335
375	0.6931739145
376	0.6926953328
377	0.6913525724
378	0.6913445904
379	0.6912302909
380	0.6911509674
381	0.6910643523
382	0.6905853483
383	0.6905338783
384	0.6896790439
385	0.6892817776
386	0.6889428566
387	0.6889324799
388	0.6880002269
389	0.6872966473
390	0.6872139844
391	0.6866892138
392	0.685693549
393	0.6853598357
394	0.6838411456
395	0.6836946912
396	0.6836677715
397	0.6806728558
398	0.6799724631
399	0.6799186629
400	0.6798175762
401	0.6794271183
402	0.678672319
403	0.6786668457
404	0.6785626588
405	0.6783552623
406	0.6763935685
407	0.6740057217
408	0.6736202689
409	0.673375957
410	0.6717580301
411	0.6710617014
412	0.670615219
413	0.6705677128
414	0.6685754162
415	0.6681823871
416	0.6679500794
417	0.6675644586
418	0.6674918048
419	0.6670928207
420	0.6670022948
421	0.6636713873
422	0.6628928482
423	0.6627219307
424	0.6626865025
425	0.6625104106
426	0.6624383825
427	0.6620957921
428	0.6615663779
429	0.6610936006
430	0.6610312431
431	0.6586197211
432	0.65841784
433	0.658301646
434	0.6579883769
435	0.6579817584
436	0.6579507524
437	0.6575998805
438	0.6562892041
439	0.656149198
440	0.6553033093
441	0.6545340726
442	0.6544219406
443	0.6541770748
444	0.6540964029
445	0.6540176628
446	0.6536863758
447	0.6533914805
448	0.6532349854
449	0.653147689
450	0.6531299437
451	0.6520999942
452	0.652022927
453	0.6494983547
454	0.6488684019
455	0.6470218822
456	0.6461278274
457	0.6454448178
458	0.6445197028
459	0.644355884
460	0.6440591631
461	0.6436246747
462	0.6432125663
463	0.6431699546
464	0.6431497493
465	0.6431002102
466	0.6424969332
467	0.639446448
468	0.6390848676
469	0.6385245015
470	0.6348570826
471	0.634271809
472	0.6338026896
473	0.6337656544
474	0.6335413208
475	0.6332825645
476	0.6329001107
477	0.6322029034
478	0.6316540032
479	0.6316333712
480	0.6316240619
481	0.6314412492
482	0.630238783
483	0.6300795074
484	0.6299692692
485	0.6292465417
486	0.6283829168
487	0.6283751575
488	0.6277897414
489	0.6276054834
490	0.627542715
491	0.6255110745
492	0.6254542433
493	0.625114929
494	0.624888194
495	0.6248623297
496	0.6245985471
497	0.6242486412
498	0.6241044527
499	0.6209871374
500	0.6192874575
501	0.6188239854
502	0.6184604542
503	0.6179455976
504	0.6174706687
505	0.6170172254
506	0.616917728
507	0.6157697911
508	0.6152988181
509	0.6141925934
510	0.6124521424
511	0.6122187922
512	0.6115836417
513	0.6111695418
514	0.6111428845
515	0.6111154562
516	0.6107204132
517	0.6084915109
518	0.605384846
519	0.6046830952
520	0.600492158
521	0.5988701799
522	0.5983348765
523	0.598100648
524	0.5978377346
525	0.5975489471
526	0.5970411978
527	0.5952158988
528	0.5935176562
529	0.5926286792
530	0.5923746805
531	0.5912660421
532	0.5911368377
533	0.5897988595
534	0.5896521792
535	0.5889436771
536	0.5885343675
537	0.5883818921
538	0.5859864497
539	0.584891987
540	0.5844262453
541	0.5843885615
542	0.5842126879
543	0.5827552505
544	0.5827467869
545	0.5800819108
546	0.5796173311
547	0.5788608721
548	0.5782865016
549	0.5780478328
550	0.5762795059
551	0.5754831258
552	0.5753503631
553	0.5736490628
554	0.5720858582
555	0.5698316215
556	0.5691943454
557	0.5689073188
558	0.5688629236
559	0.5679463934
560	0.5675472733
561	0.5669402423
562	0.5658019889
563	0.5650863353
564	0.5648663205
565	0.5648372956
566	0.5645823956
567	0.5631697516
568	0.5624950667
569	0.5619021902
570	0.5605882253
571	0.5598259268
572	0.5591367912
573	0.5590506715
574	0.5585151224
575	0.5574974738
576	0.5567767231
577	0.5558698416
578	0.5550613309
579	0.5549413397
580	0.5537905718
581	0.5512661204
582	0.5508263657
583	0.5506673478
584	0.5504973052
585	0.5477720681
586	0.5471150935
587	0.546923765
588	0.5466917662
589	0.5465882247
590	0.5463923564
591	0.545667794
592	0.545536659
593	0.545301041
594	0.5437708868
595	0.5437668408
596	0.543501757
597	0.5433799848
598	0.5432609924
599	0.5421517976
600	0.5419649632
601	0.5415173271
602	0.5413418459
603	0.5412420219
604	0.5411133421
605	0.5405903602
606	0.5384239483
607	0.5379861627
608	0.5379009478
609	0.53695965
610	0.536665818
611	0.5362137469
612	0.5354253925
613	0.5347256148
614	0.5342587759
615	0.5341511747
616	0.5340859838
617	0.5339065089
618	0.5328054628
619	0.5314944347
620	0.5296609722
621	0.5288972278
622	0.525389069
623	0.5253795246
624	0.5252521107
625	0.5252290082
626	0.5216993741
627	0.5208168946
628	0.5198228506
629	0.5193536106
630	0.5192179115
631	0.5186708631
632	0.5183462104
633	0.5181843245
634	0.5165823244
635	0.5165185107
636	0.5163142154
637	0.5158139533
638	0.5157205768
639	0.5157154362
640	0.5150746312
641	0.5149474918
642	0.5142932581
643	0.5136899998
644	0.5131593589
645	0.5124341251
646	0.5119953479
647	0.5101235961
648	0.509702966
649	0.5087823403
650	0.5087273387
651	0.5080333141
652	0.5078974019
653	0.5078183934
654	0.5074468416
655	0.5069063868
656	0.5061352395
657	0.5060932663
658	0.5047153228
659	0.5035095181
660	0.501642715
661	0.5014333462
662	0.5007406848
663	0.5006330026
664	0.5004925762
665	0.4999596676
666	0.4998380494
667	0.4996504255
668	0.4972396077
669	0.4971470978
670	0.4964456093
671	0.4961975049
672	0.4960932222
673	0.4953451634
674	0.4948325736
675	0.4944935587
676	0.4931647866
677	0.4927752078
678	0.4925998518
679	0.4918677865
680	0.4918308011
681	0.4917209513
682	0.4902950024
683	0.489889594
684	0.488525328
685	0.4884543133
686	0.4881132941
687	0.4871929166
688	0.4868958014
689	0.4868665956
690	0.4860162791
691	0.4859873752
692	0.4858454728
693	0.4851947219
694	0.4843098331
695	0.4842746152
696	0.4841887837
697	0.4836348803
698	0.4821886711
699	0.4818662835
700	0.4814168564
701	0.481212933
702	0.4798021857
703	0.4796464362
704	0.4794416709
705	0.4788370689
706	0.4786982444
707	0.4785868687
708	0.4772891066
709	0.4772161981
710	0.4767150649
711	0.4738831796
712	0.4733399747
713	0.4722900868
714	0.4719046576
715	0.4718044777
716	0.470563036
717	0.4705497581
718	0.4704500115
719	0.469904716
720	0.4695117601
721	0.4694478435
722	0.4687580117
723	0.4684857423
724	0.4680033922
725	0.4676672713
726	0.4671831676
727	0.4667489329
728	0.4659270853
729	0.4654280569
730	0.4647227784
731	0.4641408813
732	0.4634981358
733	0.4626855466
734	0.4611811788
735	0.4590947498
736	0.4587400024
737	0.4570635446
738	0.4569161973
739	0.456823191
740	0.4564486354
741	0.4559743894
742	0.4543538004
743	0.453795306
744	0.45371408
745	0.4536020193
746	0.4531967935
747	0.4528950099
748	0.4520387292
749	0.4519810728
750	0.4519152361
751	0.450821997
752	0.4494284939
753	0.4492519692
754	0.4492258064
755	0.4479508182
756	0.4478461256
757	0.4468414787
758	0.4460085111
759	0.4447494506
760	0.4443941648
761	0.4442527757
762	0.442703613
763	0.44268035
764	0.4426750297
765	0.4425131492
766	0.4416393574
767	0.4414065474
768	0.4406361267
769	0.4392536589
770	0.4377466365
771	0.436758458
772	0.4364128161
773	0.4353078747
774	0.4345300324
775	0.4340371105
776	0.4337314611
777	0.4333099689
778	0.4328922295
779	0.4328035303
780	0.4314383738
781	0.4308554091
782	0.4296683795
783	0.4289855672
784	0.4286930039
785	0.4286769899
786	0.428542887
787	0.4284789717
788	0.4284117124
789	0.4283880894
790	0.4283316691
791	0.4282263984
792	0.4280551401
793	0.4273164612
794	0.4269768754
795	0.4258469391
796	0.4253762266
797	0.4246145199
798	0.4243265883
799	0.4240453319
800	0.4237542402
801	0.42368573
802	0.4215968862
803	0.4215020836
804	0.4213728791
805	0.4211586544
806	0.4203951692
807	0.4194942748
808	0.419123221
809	0.4190291151
810	0.4187313559
811	0.4186738274
812	0.418665298
813	0.4183362854
814	0.4182302837
815	0.4181483029
816	0.4173591176
817	0.4172555614
818	0.4171165883
819	0.4166129016
820	0.4162820089
821	0.4158056553
822	0.4156618941
823	0.4155574622
824	0.4145661028
825	0.4145250351
826	0.4139955737
827	0.4130055299
828	0.4119654541
829	0.4117712153
830	0.4115307994
831	0.4107779335
832	0.4102734889
833	0.4102377188
834	0.410118333
835	0.4097248544
836	0.4088630942
837	0.4076771518
838	0.4066870009
839	0.4065652695
840	0.4059962942
841	0.4058658995
842	0.405781046
843	0.4033729372
844	0.4032807687
845	0.4028027486
846	0.4013881527
847	0.4010982847
848	0.3991818705
849	0.398786046
850	0.3986262861
851	0.3984027049
852	0.3983797645
853	0.3983217981
854	0.3980801012
855	0.3978579163
856	0.397614285
857	0.3973210391
858	0.3965346899
859	0.3964647925
860	0.3961628131
861	0.396014967
862	0.3958520554
863	0.3954226001
864	0.3951171178
865	0.3944303786
866	0.3941769659
867	0.3938166889
868	0.3935522189
869	0.3932605252
870	0.3927657811
871	0.3927089038
872	0.3922737558
873	0.3911445027
874	0.390753924
875	0.3906754257
876	0.3901489938
877	0.3901097029
878	0.3900002464
879	0.3899786575
880	0.3896584521
881	0.3891152765
882	0.3890650385
883	0.3887863027
884	0.3878052919
885	0.3871780645
886	0.386920844
887	0.3866560054
888	0.3857963558
889	0.3857338039
890	0.3850345135
891	0.3849735338
892	0.3847082952
893	0.384206218
894	0.3833207458
895	0.3831267242
896	0.3825653847
897	0.3821652619
898	0.3808965873
899	0.38065995
900	0.3806281045
901	0.380537099
902	0.3797831237
903	0.3796083971
904	0.3793335472
905	0.3783431675
906	0.3782968548
907	0.3774530231
908	0.3773352424
909	0.3772791998
910	0.3771557555
911	0.3766558203
912	0.3764449931
913	0.3763994618
914	0.376298425
915	0.3762807631
916	0.3762318216
917	0.3755154569
918	0.3754757833
919	0.3751090177
920	0.3749928069
921	0.3742636715
922	0.3742205542
923	0.373709389
924	0.3734686737
925	0.3734467904
926	0.3720677576
927	0.3712606612
928	0.3712318641
929	0.3703502645
930	0.3701791553
931	0.3699379639
932	0.3698938953
933	0.3691507774
934	0.3690380439
935	0.3687737695
936	0.3684645558
937	0.3682797478
938	0.3682101929
939	0.3676314973
940	0.3673939795
941	0.3665042773
942	0.3660863863
943	0.3656184695
944	0.3651867733
945	0.3650857137
946	0.3650562772
947	0.3650151238
948	0.3649335744
949	0.3645749373
950	0.364381842
951	0.3638565724
952	0.3635675566
953	0.3629523176
954	0.3627728215
955	0.3625285125
956	0.3608892745
957	0.3605996014
958	0.3596149814
959	0.359561555
960	0.3595221403
961	0.3591399416
962	0.358825076
963	0.3580337561
964	0.3577244379
965	0.357646634
966	0.3574261526
967	0.3561342622
968	0.3559693994
969	0.3557690723
970	0.3556947503
971	0.3548839451
972	0.3548059377
973	0.3542066341
974	0.3540837013
975	0.3536197028
976	0.3535219702
977	0.3532916032
978	0.3531641463
979	0.3530974423
980	0.3530778118
981	0.35298849
982	0.3527489428
983	0.3524314122
984	0.3515151076
985	0.3510073448
986	0.3507623899
987	0.3503573116
988	0.3496867461
989	0.3484559341
990	0.3483469541
991	0.3481355971
992	0.347922345
993	0.3473777887
994	0.3465440857
995	0.3464979708
996	0.3464160261
997	0.3459168385
998	0.3452343548
999	0.3452139369
